ID,Name,Form,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
24,Arbok,,Poison,,448,60,95,69,65,79,80,1
25,Pikachu,,Electric,,320,35,55,40,50,50,90,1
25,Pikachu,Partner Pikachu,Electric,,430,45,80,50,75,60,120,7
26,Raichu,,Electric,,485,60,90,55,90,80,110,1
26,Raichu,Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,7
27,Sandshrew,,Ground,,300,50,75,85,20,30,40,1
27,Sandshrew,Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40,7
28,Sandslash,,Ground,,450,75,100,110,45,55,65,1
28,Sandslash,Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,7
29,Nidoran,Female,Poison,,275,55,47,52,40,40,41,1
30,Nidorina,,Poison,,365,70,62,67,55,55,56,1
31,Nidoqueen,,Poison,Ground,505,90,92,87,75,85,76,1
32,Nidoran,Male,Poison,,273,46,57,40,40,40,50,1
33,Nidorino,,Poison,,365,61,72,57,55,55,65,1
34,Nidoking,,Poison,Ground,505,81,102,77,85,75,85,1
35,Clefairy,,Fairy,,323,70,45,48,60,65,35,1
36,Clefable,,Fairy,,483,95,70,73,95,90,60,1
37,Vulpix,,Fire,,299,38,41,40,50,65,65,1
37,Vulpix,Alolan Vulpix,Ice,,299,38,41,40,50,65,65,7
38,Ninetales,,Fire,,505,73,76,75,81,100,100,1
38,Ninetales,Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,7
39,Jigglypuff,,Normal,Fairy,270,115,45,20,45,25,20,1
40,Wigglytuff,,Normal,Fairy,435,140,70,45,85,50,45,1
41,Zubat,,Poison,Flying,245,40,45,35,30,40,55,1
42,Golbat,,Poison,Flying,455,75,80,70,65,75,90,1
43,Oddish,,Grass,Poison,320,45,50,55,75,65,30,1
44,Gloom,,Grass,Poison,395,60,65,70,85,75,40,1
45,Vileplume,,Grass,Poison,490,75,80,85,110,90,50,1
46,Paras,,Bug,Grass,285,35,70,55,45,55,25,1
47,Parasect,,Bug,Grass,405,60,95,80,60,80,30,1
48,Venonat,,Bug,Poison,305,60,55,50,40,55,45,1
49,Venomoth,,Bug,Poison,450,70,65,60,90,75,90,1
50,Diglett,,Ground,,265,10,55,25,35,45,95,1
50,Diglett,Alolan Diglett,Ground,Steel,265,10,55,30,35,45,90,7
51,Dugtrio,,Ground,,425,35,100,50,50,70,120,1
51,Dugtrio,Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,7
52,Meowth,,Normal,,290,40,45,35,40,40,90,1
52,Meowth,Alolan Meowth,Dark,,290,40,35,35,50,40,90,7
52,Meowth,Galarian Meowth,Steel,,290,50,65,55,40,40,40,8
53,Persian,,Normal,,440,65,70,60,65,65,115,1
53,Persian,Alolan Persian,Dark,,440,65,60,60,75,65,115,7
54,Psyduck,,Water,,320,50,52,48,65,50,55,1
55,Golduck,,Water,,500,80,82,78,95,80,85,1
56,Mankey,,Fighting,,305,40,80,35,35,45,70,1
57,Primeape,,Fighting,,455,65,105,60,60,70,95,1
58,Growlithe,,Fire,,350,55,70,45,70,50,60,1
58,Growlithe,Hisuian Growlithe,Fire,Rock,350,60,75,45,65,50,55,8
59,Arcanine,,Fire,,555,90,110,80,100,80,95,1
59,Arcanine,Hisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90,8
60,Poliwag,,Water,,300,40,50,40,40,40,90,1
61,Poliwhirl,,Water,,385,65,65,65,50,50,90,1
62,Poliwrath,,Water,Fighting,510,90,95,95,70,90,70,1
63,Abra,,Psychic,,310,25,20,15,105,55,90,1
64,Kadabra,,Psychic,,400,40,35,30,120,70,105,1
65,Alakazam,,Psychic,,500,55,50,45,135,95,120,1
65,Alakazam,Mega Alakazam,Psychic,,600,55,50,65,175,105,150,6
66,Machop,,Fighting,,305,70,80,50,35,35,35,1
67,Machoke,,Fighting,,405,80,100,70,50,60,45,1
68,Machamp,,Fighting,,505,90,130,80,65,85,55,1
69,Bellsprout,,Grass,Poison,300,50,75,35,70,30,40,1
70,Weepinbell,,Grass,Poison,390,65,90,50,85,45,55,1
71,Victreebel,,Grass,Poison,490,80,105,65,100,70,70,1
72,Tentacool,,Water,Poison,335,40,40,35,50,100,70,1
73,Tentacruel,,Water,Poison,515,80,70,65,80,120,100,1
74,Geodude,,Rock,Ground,300,40,80,100,30,30,20,1
74,Geodude,Alolan Geodude,Rock,Electric,300,40,80,100,30,30,20,7
75,Graveler,,Rock,Ground,390,55,95,115,45,45,35,1
75,Graveler,Alolan Graveler,Rock,Electric,390,55,95,115,45,45,35,7
76,Golem,,Rock,Ground,495,80,120,130,55,65,45,1
76,Golem,Alolan Golem,Rock,Electric,495,80,120,130,55,65,45,7
77,Ponyta,,Fire,,410,50,85,55,65,65,90,1
77,Ponyta,Galarian Ponyta,Psychic,,410,50,85,55,65,65,90,8
78,Rapidash,,Fire,,500,65,100,70,80,80,105,1
78,Rapidash,Galarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,8
79,Slowpoke,,Water,Psychic,315,90,65,65,40,40,15,1
79,Slowpoke,Galarian Slowpoke,Psychic,,315,90,65,65,40,40,15,8
80,Slowbro,,Water,Psychic,490,95,75,110,100,80,30,1
80,Slowbro,Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,6
80,Slowbro,Galarian Slowbro,Poison,Psychic,490,95,100,95,100,70,30,8
81,Magnemite,,Electric,Steel,325,25,35,70,95,55,45,1
82,Magneton,,Electric,Steel,465,50,60,95,120,70,70,1
83,Farfetch'd,,Normal,Flying,377,52,90,55,58,62,60,1
83,Farfetch'd,Galarian Farfetch'd,Fighting,,377,52,95,55,58,62,55,8
84,Doduo,,Normal,Flying,310,35,85,45,35,35,75,1
85,Dodrio,,Normal,Flying,470,60,110,70,60,60,110,1
86,Seel,,Water,,325,65,45,55,45,70,45,1
87,Dewgong,,Water,Ice,475,90,70,80,70,95,70,1
88,Grimer,,Poison,,325,80,80,50,40,50,25,1
88,Grimer,Alolan Grimer,Poison,Dark,325,80,80,50,40,50,25,7
89,Muk,,Poison,,500,105,105,75,65,100,50,1
89,Muk,Alolan Muk,Poison,Dark,500,105,105,75,65,100,50,7
90,Shellder,,Water,,305,30,65,100,45,25,40,1
91,Cloyster,,Water,Ice,525,50,95,180,85,45,70,1
92,Gastly,,Ghost,Poison,310,30,35,30,100,35,80,1
93,Haunter,,Ghost,Poison,405,45,50,45,115,55,95,1
94,Gengar,,Ghost,Poison,500,60,65,60,130,75,110,1
94,Gengar,Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,6
95,Onix,,Rock,Ground,385,35,45,160,30,45,70,1
96,Drowzee,,Psychic,,328,60,48,45,43,90,42,1
97,Hypno,,Psychic,,483,85,73,70,73,115,67,1
98,Krabby,,Water,,325,30,105,90,25,25,50,1
99,Kingler,,Water,,475,55,130,115,50,50,75,1
100,Voltorb,,Electric,,330,40,30,50,55,55,100,1
100,Voltorb,Hisuian Voltorb,Electric,Grass,330,40,30,50,55,55,100,8
101,Electrode,,Electric,,490,60,50,70,80,80,150,1
101,Electrode,Hisuian Electrode,Electric,Grass,490,60,50,70,80,80,150,8
102,Exeggcute,,Grass,Psychic,325,60,40,80,60,45,40,1
103,Exeggutor,,Grass,Psychic,530,95,95,85,125,75,55,1
103,Exeggutor,Alolan Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,7
104,Cubone,,Ground,,320,50,50,95,40,50,35,1
105,Marowak,,Ground,,425,60,80,110,50,80,45,1
105,Marowak,Alolan Marowak,Fire,Ghost,425,60,80,110,50,80,45,7
106,Hitmonlee,,Fighting,,455,50,120,53,35,110,87,1
107,Hitmonchan,,Fighting,,455,50,105,79,35,110,76,1
108,Lickitung,,Normal,,385,90,55,75,60,75,30,1
109,Koffing,,Poison,,340,40,65,95,60,45,35,1
110,Weezing,,Poison,,490,65,90,120,85,70,60,1
110,Weezing,Galarian Weezing,Poison,Fairy,490,65,90,120,85,70,60,8
111,Rhyhorn,,Ground,Rock,345,80,85,95,30,30,25,1
112,Rhydon,,Ground,Rock,485,105,130,120,45,45,40,1
113,Chansey,,Normal,,450,250,5,5,35,105,50,1
114,Tangela,,Grass,,435,65,55,115,100,40,60,1
115,Kangaskhan,,Normal,,490,105,95,80,40,80,90,1
115,Kangaskhan,Mega Kangaskhan,Normal,,590,105,125,100,60,100,100,6
116,Horsea,,Water,,295,30,40,70,70,25,60,1
117,Seadra,,Water,,440,55,65,95,95,45,85,1
118,Goldeen,,Water,,320,45,67,60,35,50,63,1
119,Seaking,,Water,,450,80,92,65,65,80,68,1
120,Staryu,,Water,,340,30,45,55,70,55,85,1
121,Starmie,,Water,Psychic,520,60,75,85,100,85,115,1
122,Mr. Mime,,Psychic,Fairy,460,40,45,65,100,120,90,1
122,Mr. Mime,Galarian Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100,8
123,Scyther,,Bug,Flying,500,70,110,80,55,80,105,1
124,Jynx,,Ice,Psychic,455,65,50,35,115,95,95,1
125,Electabuzz,,Electric,,490,65,83,57,95,85,105,1
126,Magmar,,Fire,,495,65,95,57,100,85,93,1
127,Pinsir,,Bug,,500,65,125,100,55,70,85,1
127,Pinsir,Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,6
128,Tauros,,Normal,,490,75,100,95,40,70,110,1
128,Tauros,Combat Breed,Fighting,,490,75,110,105,30,70,100,9
128,Tauros,Blaze Breed,Fighting,Fire,490,75,110,105,30,70,100,9
128,Tauros,Aqua Breed,Fighting,Water,490,75,110,105,30,70,100,9
129,Magikarp,,Water,,200,20,10,55,15,20,80,1
130,Gyarados,,Water,Flying,540,95,125,79,60,100,81,1
130,Gyarados,Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,6
131,Lapras,,Water,Ice,535,130,85,80,85,95,60,1
132,Ditto,,Normal,,288,48,48,48,48,48,48,1
133,Eevee,,Normal,,325,55,55,50,45,65,55,1
133,Eevee,Partner Eevee,Normal,,435,65,75,70,65,85,75,7
134,Vaporeon,,Water,,525,130,65,60,110,95,65,1
135,Jolteon,,Electric,,525,65,65,60,110,95,130,1
136,Flareon,,Fire,,525,65,130,60,95,110,65,1
137,Porygon,,Normal,,395,65,60,70,85,75,40,1
138,Omanyte,,Rock,Water,355,35,40,100,90,55,35,1
139,Omastar,,Rock,Water,495,70,60,125,115,70,55,1
140,Kabuto,,Rock,Water,355,30,80,90,55,45,55,1
141,Kabutops,,Rock,Water,495,60,115,105,65,70,80,1
142,Aerodactyl,,Rock,Flying,515,80,105,65,60,75,130,1
142,Aerodactyl,Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,6
143,Snorlax,,Normal,,540,160,110,65,65,110,30,1
144,Articuno,,Ice,Flying,580,90,85,100,95,125,85,1
144,Articuno,Galarian Articuno,Psychic,Flying,580,90,85,85,125,100,95,8
145,Zapdos,,Electric,Flying,580,90,90,85,125,90,100,1
145,Zapdos,Galarian Zapdos,Fighting,Flying,580,90,125,90,85,90,100,8
146,Moltres,,Fire,Flying,580,90,100,90,125,85,90,1
146,Moltres,Galarian Moltres,Dark,Flying,580,90,85,90,100,125,90,8
147,Dratini,,Dragon,,300,41,64,45,50,50,50,1
148,Dragonair,,Dragon,,420,61,84,65,70,70,70,1
149,Dragonite,,Dragon,Flying,600,91,134,95,100,100,80,1
150,Mewtwo,,Psychic,,680,106,110,90,154,90,130,1
150,Mewtwo,Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,6
150,Mewtwo,Mega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,6
151,Mew,,Psychic,,600,100,100,100,100,100,100,1
152,Chikorita,,Grass,,318,45,49,65,49,65,45,2
153,Bayleef,,Grass,,405,60,62,80,63,80,60,2
154,Meganium,,Grass,,525,80,82,100,83,100,80,2
155,Cyndaquil,,Fire,,309,39,52,43,60,50,65,2
156,Quilava,,Fire,,405,58,64,58,80,65,80,2
157,Typhlosion,,Fire,,534,78,84,78,109,85,100,2
157,Typhlosion,Hisuian Typhlosion,Fire,Ghost,534,73,84,78,119,85,95,8
158,Totodile,,Water,,314,50,65,64,44,48,43,2
159,Croconaw,,Water,,405,65,80,80,59,63,58,2
160,Feraligatr,,Water,,530,85,105,100,79,83,78,2
161,Sentret,,Normal,,215,35,46,34,35,45,20,2
162,Furret,,Normal,,415,85,76,64,45,55,90,2
163,Hoothoot,,Normal,Flying,262,60,30,30,36,56,50,2
164,Noctowl,,Normal,Flying,452,100,50,50,86,96,70,2
165,Ledyba,,Bug,Flying,265,40,20,30,40,80,55,2
166,Ledian,,Bug,Flying,390,55,35,50,55,110,85,2
167,Spinarak,,Bug,Poison,250,40,60,40,40,40,30,2
168,Ariados,,Bug,Poison,400,70,90,70,60,70,40,2
169,Crobat,,Poison,Flying,535,85,90,80,70,80,130,2
170,Chinchou,,Water,Electric,330,75,38,38,56,56,67,2
171,Lanturn,,Water,Electric,460,125,58,58,76,76,67,2
172,Pichu,,Electric,,205,20,40,15,35,35,60,2
173,Cleffa,,Fairy,,218,50,25,28,45,55,15,2
174,Igglybuff,,Normal,Fairy,210,90,30,15,40,20,15,2
175,Togepi,,Fairy,,245,35,20,65,40,65,20,2
176,Togetic,,Fairy,Flying,405,55,40,85,80,105,40,2
177,Natu,,Psychic,Flying,320,40,50,45,70,45,70,2
178,Xatu,,Psychic,Flying,470,65,75,70,95,70,95,2
179,Mareep,,Electric,,280,55,40,40,65,45,35,2
180,Flaaffy,,Electric,,365,70,55,55,80,60,45,2
181,Ampharos,,Electric,,510,90,75,85,115,90,55,2
181,Ampharos,Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,6
182,Bellossom,,Grass,,490,75,80,95,90,100,50,2
183,Marill,,Water,Fairy,250,70,20,50,20,50,40,2
184,Azumarill,,Water,Fairy,420,100,50,80,60,80,50,2
185,Sudowoodo,,Rock,,410,70,100,115,30,65,30,2
186,Politoed,,Water,,500,90,75,75,90,100,70,2
187,Hoppip,,Grass,Flying,250,35,35,40,35,55,50,2
188,Skiploom,,Grass,Flying,340,55,45,50,45,65,80,2
189,Jumpluff,,Grass,Flying,460,75,55,70,55,95,110,2
190,Aipom,,Normal,,360,55,70,55,40,55,85,2
191,Sunkern,,Grass,,180,30,30,30,30,30,30,2
192,Sunflora,,Grass,,425,75,75,55,105,85,30,2
193,Yanma,,Bug,Flying,390,65,65,45,75,45,95,2
194,Wooper,,Water,Ground,210,55,45,45,25,25,15,2
194,Wooper,Paldean Wooper,Poison,Ground,210,55,45,45,25,25,15,9
195,Quagsire,,Water,Ground,430,95,85,85,65,65,35,2
196,Espeon,,Psychic,,525,65,65,60,130,95,110,2
197,Umbreon,,Dark,,525,95,65,110,60,130,65,2
198,Murkrow,,Dark,Flying,405,60,85,42,85,42,91,2
199,Slowking,,Water,Psychic,490,95,75,80,100,110,30,2
199,Slowking,Galarian Slowking,Poison,Psychic,490,95,65,80,110,110,30,8
200,Misdreavus,,Ghost,,435,60,60,60,85,85,85,2
